Seed 29 | objective hybrid-as | selector pareto-live-gate | linear bc 50000 | linear ppo 60000 | neural off | neural bc 50000 | neural ppo 60000 | workers 11

BC linear    [----------------------------]   0.1% 64/50000 |    4.3/s | elapsed 15s | eta 3h 11m 39s | process workers | examples 5836 | q 2648 t 601 r 373
BC linear    [----------------------------]   0.3% 128/50000 |    8.5/s | elapsed 15s | eta 1h 37m 46s | process workers | examples 12145 | q 5230 t 1919 r 717
BC linear    [----------------------------]   0.4% 192/50000 |   12.5/s | elapsed 15s | eta 1h 6m 14s | process workers | examples 18160 | q 7977 t 2436 r 1118
BC linear    [----------------------------]   0.5% 256/50000 |   16.6/s | elapsed 15s | eta 50m 5s | process workers | examples 24251 | q 10732 t 3138 r 1475  
BC linear    [----------------------------]   0.9% 448/50000 |   28.4/s | elapsed 16s | eta 29m 3s | process workers | examples 42817 | q 19028 t 4944 r 2686  
BC linear    [----------------------------]   1.0% 512/50000 |   31.1/s | elapsed 16s | eta 26m 30s | process workers | examples 49464 | q 22112 t 5702 r 3085 
BC linear    [----------------------------]   1.2% 576/50000 |   34.6/s | elapsed 17s | eta 23m 50s | process workers | examples 55967 | q 25181 t 6121 r 3496 
BC linear    [----------------------------]   1.4% 704/50000 |   40.8/s | elapsed 17s | eta 20m 9s | process workers | examples 69391 | q 31278 t 7810 r 4277  
BC linear    [----------------------------]   1.5% 768/50000 |   25.3/s | elapsed 30s | eta 32m 23s | process workers | examples 75697 | q 33975 t 8621 r 4666 
BC linear    [----------------------------]   1.7% 832/50000 |   26.9/s | elapsed 31s | eta 30m 26s | process workers | examples 81904 | q 36710 t 9374 r 5058 
BC linear    [----------------------------]   1.9% 960/50000 |   30.9/s | elapsed 31s | eta 26m 27s | process workers | examples 94705 | q 42642 t 10673 r 5823
BC linear    [----------------------------]   2.2% 1088/50000 |   34.7/s | elapsed 31s | eta 23m 30s | process workers | examples 107111 | q 48332 t 11806 r 6572
BC linear    [----------------------------]   2.3% 1152/50000 |   36.5/s | elapsed 32s | eta 22m 19s | process workers | examples 113769 | q 51310 t 12767 r 6934
BC linear    [----------------------------]   2.4% 1216/50000 |   38.3/s | elapsed 32s | eta 21m 14s | process workers | examples 120132 | q 54183 t 13482 r 7312
BC linear    [----------------------------]   2.6% 1280/50000 |   40.0/s | elapsed 32s | eta 20m 17s | process workers | examples 126521 | q 57093 t 14048 r 7690
BC linear    [----------------------------]   2.8% 1408/50000 |   43.3/s | elapsed 33s | eta 18m 42s | process workers | examples 139745 | q 63167 t 15392 r 8473
BC linear    [----------------------------]   2.9% 1472/50000 |   31.3/s | elapsed 47s | eta 25m 50s | process workers | examples 145533 | q 65978 t 15937 r 8791
BC linear    [----------------------------]   3.1% 1536/50000 |   32.6/s | elapsed 47s | eta 24m 46s | process workers | examples 151288 | q 68629 t 16356 r 9148
BC linear    [----------------------------]   3.2% 1600/50000 |   33.8/s | elapsed 47s | eta 23m 52s | process workers | examples 157374 | q 71442 t 17133 r 9499
BC linear    [----------------------------]   3.5% 1728/50000 |   36.1/s | elapsed 48s | eta 22m 17s | process workers | examples 169749 | q 77002 t 18351 r 10249
BC linear    [#---------------------------]   3.6% 1792/50000 |   37.3/s | elapsed 48s | eta 21m 32s | process workers | examples 176035 | q 79844 t 18987 r 10639
BC linear    [#---------------------------]   3.7% 1856/50000 |   38.3/s | elapsed 48s | eta 20m 56s | process workers | examples 182412 | q 82632 t 19762 r 11033
BC linear    [#---------------------------]   3.8% 1920/50000 |   39.5/s | elapsed 49s | eta 20m 16s | process workers | examples 188962 | q 85436 t 20323 r 11475
BC linear    [#---------------------------]   4.0% 1984/50000 |   40.5/s | elapsed 49s | eta 19m 46s | process workers | examples 195611 | q 88386 t 21217 r 11865
BC linear    [#---------------------------]   4.1% 2048/50000 |   41.4/s | elapsed 49s | eta 19m 18s | process workers | examples 202634 | q 91413 t 22354 r 12251
BC linear    [#---------------------------]   4.2% 2112/50000 |   42.6/s | elapsed 50s | eta 18m 44s | process workers | examples 209585 | q 94448 t 23212 r 12684
BC linear    [#---------------------------]   4.4% 2176/50000 |   35.7/s | elapsed 1m 1s | eta 22m 21s | process workers | examples 215415 | q 96919 t 24259 r 12992
BC linear    [#---------------------------]   4.5% 2240/50000 |   35.7/s | elapsed 1m 3s | eta 22m 19s | process workers | examples 221646 | q 99747 t 24859 r 13390
BC linear    [#---------------------------]   4.6% 2304/50000 |   36.5/s | elapsed 1m 3s | eta 21m 47s | process workers | examples 227976 | q 102593 t 25343 r 13803
BC linear    [#---------------------------]   4.9% 2432/50000 |   38.4/s | elapsed 1m 3s | eta 20m 38s | process workers | examples 240508 | q 108131 t 26749 r 14592
BC linear    [#---------------------------]   5.0% 2496/50000 |   39.2/s | elapsed 1m 4s | eta 20m 12s | process workers | examples 247264 | q 111254 t 27571 r 14964
BC linear    [#---------------------------]   5.1% 2560/50000 |   40.1/s | elapsed 1m 4s | eta 19m 44s | process workers | examples 253315 | q 113904 t 28401 r 15331
