Seed 17 | objective hybrid-as | selector pareto-live-gate | linear bc 40000 | linear ppo 50000 | neural off | neural bc 40000 | neural ppo 50000 | workers 11

BC linear    [----------------------------]   0.2% 64/40000 |    4.3/s | elapsed 15s | eta 2h 35m 4s | process workers | examples 5931 | q 2677 t 461 r 388
BC linear    [----------------------------]   0.3% 128/40000 |    8.5/s | elapsed 15s | eta 1h 18m 13s | process workers | examples 12248 | q 5359 t 1485 r 750
BC linear    [----------------------------]   0.5% 192/40000 |   12.6/s | elapsed 15s | eta 52m 27s | process workers | examples 18370 | q 8124 t 2047 r 1164  
BC linear    [----------------------------]   1.0% 384/40000 |   25.1/s | elapsed 15s | eta 26m 20s | process workers | examples 36840 | q 16374 t 4366 r 2265 
BC linear    [----------------------------]   1.1% 448/40000 |   28.8/s | elapsed 16s | eta 22m 55s | process workers | examples 43314 | q 19291 t 5255 r 2610 
BC linear    [----------------------------]   1.4% 576/40000 |   36.7/s | elapsed 16s | eta 17m 55s | process workers | examples 56042 | q 24896 t 6742 r 3366 
BC linear    [----------------------------]   1.6% 640/40000 |   40.3/s | elapsed 16s | eta 16m 16s | process workers | examples 62354 | q 27795 t 7578 r 3716 
BC linear    [----------------------------]   1.8% 704/40000 |   43.8/s | elapsed 16s | eta 14m 57s | process workers | examples 68970 | q 30726 t 8381 r 4108 
BC linear    [----------------------------]   1.9% 768/40000 |   25.6/s | elapsed 30s | eta 25m 30s | process workers | examples 74961 | q 33331 t 9140 r 4485 
BC linear    [----------------------------]   2.1% 832/40000 |   27.6/s | elapsed 30s | eta 23m 41s | process workers | examples 81021 | q 35966 t 9784 r 4885 
BC linear    [----------------------------]   2.2% 896/40000 |   29.4/s | elapsed 30s | eta 22m 8s | process workers | examples 86973 | q 38591 t 10354 r 5284 
BC linear    [----------------------------]   2.4% 960/40000 |   31.4/s | elapsed 31s | eta 20m 45s | process workers | examples 93100 | q 41179 t 11173 r 5669
BC linear    [----------------------------]   2.9% 1152/40000 |   37.5/s | elapsed 31s | eta 17m 16s | process workers | examples 112203 | q 49559 t 13329 r 6908
BC linear    [----------------------------]   3.0% 1216/40000 |   39.1/s | elapsed 31s | eta 16m 31s | process workers | examples 118890 | q 52558 t 13951 r 7351
BC linear    [----------------------------]   3.2% 1280/40000 |   41.1/s | elapsed 31s | eta 15m 43s | process workers | examples 125573 | q 55494 t 14947 r 7709
