Seed 7 | objective hybrid-as | selector pareto-live-gate | linear bc 30000 | linear ppo 40000 | neural off | neural bc 30000 | neural ppo 40000 | workers 11

BC linear    [###-------------------------]  11.9% 3584/30000 |   35.9/s | elapsed 1m 40s | eta 12m 17s | process workers | examples 360643 | q 161264 t 39622 r 21991
BC linear    [###-------------------------]  12.2% 3648/30000 |   36.0/s | elapsed 1m 41s | eta 12m 13s | process workers | examples 366790 | q 164005 t 40290 r 22380
BC linear    [###-------------------------]  12.4% 3712/30000 |   36.3/s | elapsed 1m 42s | eta 12m 3s | process workers | examples 372942 | q 166837 t 41154 r 22701 
BC linear    [###-------------------------]  12.6% 3776/30000 |   36.9/s | elapsed 1m 42s | eta 11m 50s | process workers | examples 379340 | q 169632 t 41891 r 23118
BC linear    [###-------------------------]  13.0% 3904/30000 |   38.1/s | elapsed 1m 42s | eta 11m 25s | process workers | examples 392289 | q 175375 t 43429 r 23913
BC linear    [###-------------------------]  13.7% 4096/30000 |   39.9/s | elapsed 1m 43s | eta 10m 49s | process workers | examples 411038 | q 183896 t 45145 r 25096
BC linear    [###-------------------------]  13.9% 4160/30000 |   40.5/s | elapsed 1m 43s | eta 10m 38s | process workers | examples 417611 | q 186986 t 46018 r 25472
BC linear    [###-------------------------]  14.1% 4224/30000 |   41.0/s | elapsed 1m 43s | eta 10m 29s | process workers | examples 424531 | q 189900 t 47187 r 25857
BC linear    [####------------------------]  14.3% 4288/30000 |   36.4/s | elapsed 1m 58s | eta 11m 46s | process workers | examples 430448 | q 192491 t 47894 r 26203
BC linear    [####------------------------]  14.5% 4352/30000 |   36.8/s | elapsed 1m 58s | eta 11m 38s | process workers | examples 436476 | q 195061 t 48528 r 26575
BC linear    [####------------------------]  14.7% 4416/30000 |   37.2/s | elapsed 1m 59s | eta 11m 28s | process workers | examples 442591 | q 198017 t 49009 r 26945
BC linear    [####------------------------]  14.9% 4480/30000 |   37.5/s | elapsed 1m 59s | eta 11m 20s | process workers | examples 449071 | q 200986 t 49701 r 27335
BC linear    [####------------------------]  15.4% 4608/30000 |   38.5/s | elapsed 2m 0s | eta 10m 59s | process workers | examples 462050 | q 206795 t 51289 r 28109 
BC linear    [####------------------------]  15.6% 4672/30000 |   39.0/s | elapsed 2m 0s | eta 10m 49s | process workers | examples 468713 | q 209795 t 52155 r 28491 
BC linear    [####------------------------]  15.8% 4736/30000 |   39.3/s | elapsed 2m 1s | eta 10m 43s | process workers | examples 475560 | q 212969 t 52803 r 28875 
BC linear    [####------------------------]  16.2% 4864/30000 |   40.3/s | elapsed 2m 1s | eta 10m 23s | process workers | examples 489537 | q 219053 t 54795 r 29668 
BC linear    [####------------------------]  16.4% 4928/30000 |   40.8/s | elapsed 2m 1s | eta 10m 14s | process workers | examples 496443 | q 222195 t 55711 r 30066 
BC linear    [####------------------------]  16.6% 4992/30000 |   37.3/s | elapsed 2m 14s | eta 11m 11s | process workers | examples 502260 | q 224891 t 56195 r 30460
BC linear    [####------------------------]  16.9% 5056/30000 |   37.5/s | elapsed 2m 15s | eta 11m 5s | process workers | examples 508226 | q 227568 t 56678 r 30880 
BC linear    [####------------------------]  17.1% 5120/30000 |   37.9/s | elapsed 2m 15s | eta 10m 56s | process workers | examples 514606 | q 230470 t 57221 r 31298
BC linear    [####------------------------]  17.3% 5184/30000 |   38.4/s | elapsed 2m 15s | eta 10m 46s | process workers | examples 520323 | q 233007 t 57931 r 31646
BC linear    [####------------------------]  17.5% 5248/30000 |   38.8/s | elapsed 2m 15s | eta 10m 38s | process workers | examples 526982 | q 236117 t 58693 r 32026
BC linear    [####------------------------]  17.7% 5312/30000 |   39.2/s | elapsed 2m 15s | eta 10m 29s | process workers | examples 533511 | q 238948 t 59608 r 32391
BC linear    [#####-----------------------]  17.9% 5376/30000 |   39.6/s | elapsed 2m 16s | eta 10m 21s | process workers | examples 539748 | q 241907 t 59943 r 32785
BC linear    [#####-----------------------]  18.1% 5440/30000 |   39.9/s | elapsed 2m 16s | eta 10m 15s | process workers | examples 546516 | q 244904 t 60713 r 33189
BC linear    [#####-----------------------]  18.6% 5568/30000 |   40.8/s | elapsed 2m 17s | eta 9m 59s | process workers | examples 559522 | q 250666 t 62110 r 33998 
BC linear    [#####-----------------------]  18.8% 5632/30000 |   41.0/s | elapsed 2m 17s | eta 9m 54s | process workers | examples 566847 | q 253943 t 63331 r 34377 
